id,external_no,name,type_code,type_name,district_name,rural_okrug,lat,lon,year_built,water_source,capacity_m3s,length_total_km,length_earth_km,length_lined_km,suspended_area_ha,efficiency_design,efficiency_actual,efficiency_drop,wear_percent,age,tech_state_raw,cadastral_no,state_act
426,221.0,Канал №221 (Район 428),canal,Канал,Район 428,Сельский округ 428,42.651293,72.508131,1985.0,р. Иртыш,0.35,1.004,,1.004,424.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0428,Госакт № 0428
427,222.0,Канал №222 (Район 429),canal,Канал,Район 429,Сельский округ 429,44.21228,70.286129,1985.0,р. Иртыш,0.1,0.512,,0.512,65.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0429,Госакт № 0429
428,223.0,Канал №223 (Район 430),canal,Канал,Район 430,Сельский округ 430,44.507773,70.159901,1985.0,р. Иртыш,0.2,0.842,,0.842,82.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0430,Госакт № 0430
429,224.0,Канал №224 (Район 431),canal,Канал,Район 431,Сельский округ 431,42.938942,73.920902,1985.0,р. Иртыш,0.1,0.843,,0.843,62.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0431,Госакт № 0431
430,225.0,Канал №225 (Район 432),canal,Канал,Район 432,Сельский округ 432,42.944315,71.736276,1985.0,р. Иртыш,0.2,1.064,,1.064,400.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0432,Госакт № 0432
431,226.0,Канал №226 (Район 433),canal,Канал,Район 433,Сельский округ 433,43.701109,73.233379,1985.0,р. Иртыш,0.4,3.359,3.359,,100.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0433,Госакт № 0433
432,227.0,Канал №227 (Район 434),canal,Канал,Район 434,Сельский округ 434,43.280106,70.639061,1985.0,р. Иртыш,0.1,1.117,1.117,,100.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0434,Госакт № 0434
433,228.0,Канал №228 (Район 435),canal,Канал,Район 435,Сельский округ 435,43.312423,71.150972,1985.0,р. Иртыш,0.2,1.011,1.011,,100.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0435,Госакт № 0435
434,229.0,Канал №229 (Район 436),canal,Канал,Район 436,Сельский округ 436,43.657847,73.944235,1985.0,р. Иртыш,0.1,2.209,2.209,,44.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0436,Госакт № 0436
435,230.0,Канал №230 (Район 437),canal,Канал,Район 437,Сельский округ 437,43.213611,73.276343,1985.0,р. Иртыш,0.2,3.97,3.97,,402.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0437,Госакт № 0437
436,231.0,Канал №231 (Район 438),canal,Канал,Район 438,Сельский округ 438,43.918817,70.052979,1985.0,р. Иртыш,0.2,2.923,2.923,,64.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0438,Госакт № 0438
437,232.0,Канал №232 (Район 439),canal,Канал,Район 439,Сельский округ 439,44.904349,73.592599,1985.0,р. Иртыш,0.2,0.947,0.947,,200.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0439,Госакт № 0439
438,233.0,Канал №233 (Район 440),canal,Канал,Район 440,Сельский округ 440,42.592569,71.449108,1985.0,р. Иртыш,0.2,2.219,2.219,,500.0,0.8,0.5,0.30000000000000004,,41.0,удов.,Кадастровый № 0440,Госакт № 0440
